0,코로나,58
1,미러,30
2,품질,30
3,주문,19
4,최고,18
5,선물,17
6,더,17
7,마스크,16
8,그램,16
9,제작,15
10,현지,15
11,장인,15
12,거래,15
13,국내외,15
14,타,15
15,업체,15
16,비교,15
17,불허,15
18,오직,15
19,신뢰,15
20,로만,15
21,승부,15
22,문의,15
23,스타,14
24,인천,14
25,청라,13
26,셋,12
27,일상,11
28,가을,10
29,프라임,10
30,맞팔,9
31,맛집,8
32,오늘,8
33,여름,7
34,꼭,7
35,추석,7
36,치킨,7
37,알,7
38,이상태,7
39,운동,6
40,사람,6
41,좀,6
42,날,6
43,맘,6
44,셀피,6
45,패션,6
46,본부,6
47,책,5
48,언제,5
49,여행,5
